"ID(String)","Name(String)"
CO,Contractual Obligations
CR,Correction and Reversals
DE,Denials
MA,Medicare Adjustments
NC,Disallowed charges and noncovered services
OA,Other adjustments
PI,Payor Initiated Reductions
PR,Patient Responsibility
RR,Regulatory Requirement
