"ID(String)","Name(String)"
XO,Circulating Oil
XT,Protected Quantity
XU,Reserved
XV,Requisitioning Objective
XX,Authorized Retention Level
XY,Safety Level
XZ,Backorder Lines
Y1,Number of Lost Cards
Y2,Number of Stolen Cards
Y3,Number of Cards not Received
Y4,Number of Active Accounts This Cycle
Y5,Number of Open Accounts
Y6,Number of Accounts Past Due
Y7,Number of Cards Outstanding
YA,Total Demand Quantity
YB,Total Demand Orders
YC,First Quarter Recurring Demand
YD,First Quarter Recurring Orders
YE,First Quarter Non-recurring Demand
YF,First Quarter Non-recurring Orders
YG,Second Quarter Recurring Demand
YH,Second Quarter Recurring Orders
YJ,Second Quarter Non-recurring Demand
YK,Second Quarter Non-recurring Orders
YL,Third Quarter Recurring Demand
YM,Third Quarter Recurring Orders
YN,Third Quarter Non-recurring Demand
YP,Third Quarter Non-recurring Orders
YQ,Fourth Quarter Recurring Demand
YR,Fourth Quarter Recurring Orders
YS,Fourth Quarter Non-recurring Demand
YT,Fourth Quarter Non-recurring Orders
YU,Trailers
YW,Reorder Point Quantity
YX,Contract Line Item Quantity
YY,Years
Z1,Units Worked Last Day
Z2,Units Worked per Week
Z3,Units Worked per Quarter
Z4,Number Weeks Paid
Z6,Unused Accumulated Sick Days
ZA,Federal Medicare or Medicaid Claim Mandate - Category 1
ZB,Federal Medicare or Medicaid Claim Mandate - Category 2
ZC,Federal Medicare or Medicaid Claim Mandate - Category 3
ZD,Federal Medicare or Medicaid Claim Mandate - Category 4
ZE,Federal Medicare or Medicaid Claim Mandate - Category 5
ZF,Federal Pension Mandate - Category 1
ZG,Federal Pension Mandate - Category 2
ZH,Federal Pension Mandate - Category 3
ZI,Holding Period
ZJ,Federal Pension Mandate - Category 5
ZK,Federal Medicare or Medicaid Payment Mandate - Category 1
ZL,Federal Medicare or Medicaid Payment Mandate - Category 2
ZM,Federal Medicare or Medicaid Payment Mandate - Category 3
ZN,Federal Medicare or Medicaid Payment Mandate - Category 4
ZO,Federal Medicare or Medicaid Payment Mandate - Category 5
ZP,Federal Pension Mandate - Category 4
ZQ,Shares Added
ZR,Extended Term
ZS,Amortization Term
ZT,Beginning Shares
ZU,Shares Deleted
ZV,Quantity of Dealer License Plates
ZW,Current Share Balance
ZX,Size of Household
ZY,Project Units Sold
ZZ,Mutually Defined
