"ID(String)","Name(String)"
DFR,"Dose
DFS,Departure from Specification Comment
DGN,Diagnosis Description
DME,Durable Medical Equipment (DME) and Supplies
DOD,Description of Damage
DOI,Outcome Description
DRV,Driver Out of Service Notice
DRW,Driver Out of Service Resolution
DSW,Detailed Statement of Work
EAA,Other Type of Group
EAB,Ballot Measure
EAC,Attachment
EAD,Board
EAE,Prohibited Contribution Circumstance
EAF,Committee Activity
EAG,Compensation Arrangement
EAH,Country Sub-Entity
EAI,Faction
EAJ,Gift
EAK,In-Kind Contribution Use
EAL,Industry Group
EAM,Jurisdiction
EAN,Nature and Purpose of Other Lobbyist Employers
EAO,Description of Office
EAP,Party Considering Legislation
EAQ,Description of Position
EAR,Description of Sponsor
EAS,Affiliation
EAT,Asset Disposition
EAV,Committee Interest
EAW,Compensation or Services Exchanged for Consideration
EAX,Contributor Interest
EAY,Description of Debt
EAZ,Employer Description
EBA,Purpose of Employment
EBB,Description of Agency and Position
EBC,Description of Goods and Services
EBD,Length of Lobbying Actions
EBE,Lobbying Interest
EBF,Method of Disposal
EBG,Purpose of Credit
EBH,Description of Other Business Sub-Category
EBI,Other Type of Compensation
EBJ,Description of Other Legislative Interest
EBK,Other Reason for Withdrawal
EBL,Other Type of Relationship
EBM,Other Temporary Residence
EBN,Other Type of Committee
EBO,Place Paid
EBP,Proposition
EBQ,Reason for Purchase
EBR,Reason for Contribution
EBS,Description of Repayment Schedule
EBU,Service Description
EBV,Initiative
EBW,Description of Amendment
EBX,Type of Election
EBY,Other Type of Account
EBZ,Interest Rate Description
ECA,In-Kind Contribution
ECB,Reason for Refund
ECC,Incidental Expenses
ECD,Environmental Conditions Description
ECE,Other Expenses
ECF,Other Income
ECG,Description of Receipt
ECH,Surplus Funds
ECI,Collateral
ECJ,Contributor
ECK,Miscellaneous Receipt Transaction
ECL,Other Advertising
ECM,Estimate Comment
ECN,Equipment Condition Description
ECO,Other Necessary Personal Expense
ECP,Other Campaign Expense
ECQ,Long-Term Liability
ECR,Short-Term Liability
ECS,Other Sponsor Expense
ECT,Emergency Certification
ECU,Other Transportation Expense
ECV,Refund
ECW,Reason for Return
EED,Equipment Description
EFD,Equipment Function Description
ELE,Equipment Log Entry
EMC,Employment Comments
EMD,Estimate Method Description
ENR,Explanation for Non-Return of Device to Manufacturer
ERN,Error Notes
EVL,Event Location
EXE,Exemption Description
EXN,Exhibit Notes
EXR,Exercise Routine
EXT,Exterior Description
FDD,Final Deficiency Description
FEE,Fee Description
FIX,Repair Summary
FUT,Future Plans
GEN,Entire Transaction Set
GPI,General Product or Process Information
GPL,General Policy
GSI,General Specification Information
HHI,Household Goods Information
ICN,Interviewee Conversation
IDT,Intangible Description
IID,Inventory (Stock) Description
IIE,Investment Description
IIR,Intercompany Relations
IMP,Problem Impact
INP,Reason for Inspection
INS,Insurance
INT,General Order Instructions
INV,Invoice Instruction
IVC,Income Verification Comments
JVD,Joint Venture Description
LAB,Labeling Instructions
LBD,Laboratory Data
LBS,Labeled Strength
LEN,Lender Use
LIN,Line Item
LIQ,Liquor Information
LLA,Letters of Liability Agreements
LLB,Loan Details
LLC,Long Term Debt Description
LOC,Location Description Information
LOI,Loading Instructions
LSD,Legal Structure Details
MCD,Marital Contract Details
MCN,Motor Carrier Instructions
MDO,Device Operator Description
MED,Medications
MFG,Manufacturing Instructions
MKN,Marketing Notes
MMD,Merger Description
MSD,Marketable Securities Description
NCD,Nonconformance Specification
NPD,Nameplate Data
NTR,Nutritional Requirements
OBI,Originator to Beneficiary Instructions
OBL,Obligation Description
OCA,Other Current Asset Description
OCC,Occupancy Information
OCL,Other Current Liability Description
OCP,Occupation
OCR,Outside the Continental U.S. (OCONUS) Rating Information
ODD,Originator Deficiency Description
ODT,Orders for Disciplines and Treatments
OLS,Original Legal Structure
OPO,Occupation Definition
ORA,Test Results Other Than Room Air
ORD,Ordering Restrictions
ORE,Other Remedial Action
ORI,Order Instructions
OTH,Other Instructions
OTN,Another Type of Number Description
OTS,Report Source Description
PAY,Payables
PCS,Process Specification
PDS,Product Specification
PED,Employee Sharing Arrangements
PEN,Penalty Description
PES,"Partial Pressure of Oxygen (PO2) is 60 millimeters (MM) of Mercury (Hg) or above
PID,Property Improvement Description
PKG,Packaging Instructions
PMT,Payment
POB,Primary Observation
POC,Principals or Organization Comments
POL,Property Owner Location Information
PPC,Principal Procedure Code Description
PRI,Priority
PRN,Public Record Notes
PRO,Previous Registered Office
PRR,Price Range
PSY,Problem Summary
PUR,Purchasing
QUL,Qualifications
QUT,Quotation Instruction
RDI,Reason for Delinquency Information
REC,Recommendation
REF,Treatment Refusal Note
REG,Registered Activity
REP,Report
REV,Receivables
RFL,Reason for Leaving
