"ID(String)","Name(String)"
DH,Drug Detail Code
DI,Single Use Label Code
DJ,Remedial Action Code
DK,Program Originator Code
DL,Service Contract Act Operation Code
DM,Agent Status Code
DN,Nature of Debt Code
DO,Device Operator Type Code
DP,Producer Financial History Codes
DQ,Device Status Code
DR,Diagnosis Related Group (DRG)
DS,Related Device Applicability Code
DT,Debtor Type Code
DU,Device Usage Code
DW,Estimating Method Status Code
DX,Contact Status Code
DY,Type of Firm Code
DZ,Reportable Event Status Code
EA,Asset Status or Transaction Reporting Code
EB,Asset Transfer Status Code
EC,Certification Requirements Code
ED,Coast Designation Code
EE,Competitive Characteristics Code
EF,Correction or Change for Storage Item Records Code
EG,Excavation Information Code List
EH,Type Due-In Indicator
EI,Discrepancy Indicator Code
EJ,Disposal Condition Code
EK,Event or Exposure Code
EL,Error Classification Code
EM,Inventory Category Code
EN,Local Source Code
EO,Adverse Event Outcome Code
EQ,Controlled Inventory Item Code
ER,Department of Defense Identification Code
ES,Extension Reason
ET,Reject Advice Code
EU,Request Code
EV,Review Period Indicator Code
EW,Small Arms Error Transaction Reject Code
EX,Small Arms Transaction Code
EY,Special Program Requirement Status Code
EZ,Type Inspection Code
FA,Type of Contractor Code
FB,Type of Media Code
FC,Type Physical Inventory or Transaction History Code
FD,Demilitarization Code
FE,Shelf Life Code
FF,Essentiality Code
FG,Source Maintenance and Recoverability Code
FH,Type of Location Reconciliation Request
FI,Applicant Type
FJ,Antenna Structure Type
FK,Station Classification
FL,Radio Frequency Type
FM,Station Classification Type
FN,Class of Operation
FO,Antenna Polarization
FP,Fund Purpose
FQ,Radio System Type
FR,Frequency Band
FS,Area of Operation
FT,Application Type
FU,Authorization Type
FV,Radio Service Type
FW,Applicant Classification Type
FX,Frequency
FZ,Edit Error Code
G1,Uniform Residential Appraisal Attributes Code
GA,Action Code
GB,Medium of Transmission Code
GC,Management Indicator Code (Petroleum)
GD,Gain or Loss Indicator Code
GE,Type Adjustment Code
GF,Type Identity Change Code
GG,Transportation Mode Reason Code
GI,Notification Indicator Code
GJ,Reject Indicator Code
GK,Investigation Status Code
GQ,Group Qualifier Code
GR,National Council on Compensation Insurance (NCCI) Nature of Injury Code
GS,Occupational Safety and Health Administration (OSHA) Nature of Injury Code
GT,National Council on Compensation Insurance (NCCI) Part of Body Code
GU,Occupational Safety and Health Administration (OSHA) Part of Body Code
GV,National Council on Compensation Insurance (NCCI) Source of Injury Code
GW,Occupational Safety and Health Administration (OSHA) Source of Injury Code
GX,Glass Action Code
GY,Cause of Loss Code
GZ,Loss Description Code
HA,Discrepancy Code
HB,Discrepancy Advice Code
HC,Institutional Sector or Level Classification Code
HD,Discrepancy Status or Disposition Code
HE,Claim Payment Remark Codes
HF,Education Staff Type Code
HG,Education Fee Type Code
HI,Health Industry Number
HJ,Institutional Fee Basis Code
HK,National Center for Education Statistics Integrated Postsecondary Education Data System Institutional Characteristics Survey Code
